id,intitule,entreprise,lieu,departement,contrat,experience,salaire,date_publication,rome,competences,url
214DVGB,Chef de produit marketing digital (H/F),PRECIPHAR,75 - Paris,75,CDD,2 An(s),Annuel de 40000.0 Euros,2026-09-21,M1718,Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/214DVGB
209FNBG,Chef(fe) de produit marketing junior (H/F),CENTRE VAL DE LOIRE EATT,45 - CHILLEURS AUX BOIS,45,MIS,Débutant accepté,Horaire de 12.31 Euros - selon profil,2026-06-03,M1718,Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/209FNBG
213TZMH,Chef de projet Communication (H/F),GERESO,75 - Paris 14e Arrondissement,75,CDI,4 An(s),Annuel de 35000.0 Euros à 40000.0 Euros,2026-09-14,E1112,"Diplôme de journaliste | Diplôme supérieur en marketing et communication | Documents (catalogue, revue de presse, ...) | Excellente culture digitale (Internet et réseaux sociaux, publicité online, outils collaboratifs…), marketing et commerciale (marketing direct, CRM, produits…) | Normes rédactionnelles | Organisation d'évènements professionnels | Techniques de communication orales, écrites et numériques | Techniques d'interview | Concevoir des présentations pour des réunions stratégiques | Concevoir des supports de communication audiovisuels | Développer des stratégies de contenu pour différents publics | Gérer les relations avec les médias, les partenaires et les autres services | Mettre en oeuvre des actions de communication | Organiser des manifestations et des événements internes ou externes destinés aux clients, aux collaborateurs ou au personnel de l'entreprise | Réaliser des actions de relation publique, de diffusion et de promotion de l'information | Rédiger le contenu d'un support de communication | Surveiller les tendances du marché digital",https://candidat.francetravail.fr/offres/recherche/detail/213TZMH
212VLNB,Chef de projet / Cheffe de projet (Project Management Officer) (H/F),LES  GLOBULES,42 - ST ETIENNE,42,CDI,5 Mois,,2026-08-24,M1828,"Préparer et animer une réunion, un groupe de travail, un atelier | Allouer et organiser les ressources d'un projet selon les besoins et contraintes | Expliquer et faire respecter les règles et procédures | Assurer la conformité des livrables de projet | Planifier et suivre les échéances de projet",https://candidat.francetravail.fr/offres/recherche/detail/212VLNB
214FBYG,Responsable adjoint(e) - Gestion de projet & communication (H/F),EDEN GARDEN,06 - NICE,06,CDI,2 An(s),,2026-09-21,E1109,"Normes rédactionnelles | Techniques d'ingénierie et de conduite de projets | Techniques de communication orales, écrites et numériques | Création de contenu | Organisation d'événements | Gestion de projet | Marketing digital | Management et organisation",https://candidat.francetravail.fr/offres/recherche/detail/214FBYG
6928070,Chef de projet marketing digital / Campaign owner (H/F),KLANIK,13 - Marseille 8e Arrondissement,13,CDI,5 An(s),,2026-09-16,M1716,,https://candidat.francetravail.fr/offres/recherche/detail/6928070
6738153,Chef de projet SEO et Marketing Digital H/F h/f,,41 - Saint-Ouen,41,CDI,2 An(s),,2026-09-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6738153
6707413,Chef / Cheffe de projet marketing digital (H/F),MIND ME AND CO,57 - Sarreguemines,57,CDD,Débutant accepté,,2026-09-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6707413
6697892,Burger King France - Chef / Cheffe de projet marketing digital (H/F),Burger King France,92 - Clichy,92,CDI,2 An(s),,2026-09-07,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6697892
6445550,Chef / Cheffe de projet marketing digital (H/F),NOMAD FORMATION,59 - Tourcoing,59,CDD,Débutant accepté,,2026-08-31,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6445550
