id,intitule,entreprise,lieu,departement,contrat,experience,salaire,date_publication,rome,competences,url
214FDLM,Chargé / Chargée marketing digital (H/F),NOKARA,13 - ARLES,13,CDI,Débutant accepté,Annuel de 28000.0 Euros à 33000.0 Euros,2026-09-21,M1718,Analyser les besoins des utilisateurs pour la création de contenus multimédias | Concevoir des supports de communication et d'image | Mesurer le retour sur investissement d'une action marketing | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément,https://candidat.francetravail.fr/offres/recherche/detail/214FDLM
214DVGB,Chef de produit marketing digital (H/F),PRECIPHAR,75 - Paris,75,CDD,2 An(s),Annuel de 40000.0 Euros,2026-09-21,M1718,Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/214DVGB
214DRFL,Chargé commercial & marketing digital (H/F),SOCIETE PATISSERIE MASMOUDI FRANCE,69 - LYON,69,CDI,Débutant accepté,,2026-09-21,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/214DRFL
214CTPQ,Chargé(e) de développement commercial et communication digitale (H/F),S.R.C.,France,99,CDI,Débutant accepté,Mensuel de 1865.0 Euros,2026-09-19,M1718,Analyser les besoins des utilisateurs pour la création de contenus multimédias | Concevoir des supports de communication et d'image | Mesurer le retour sur investissement d'une action marketing | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément,https://candidat.francetravail.fr/offres/recherche/detail/214CTPQ
214BJLW,"Chargé, Chargée de marketing (F/H) (H/F)",ESSCA,49 - Angers,49,CDI,2 An(s),Annuel de 35000.0 Euros à 38500.0 Euros,2026-09-17,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/214BJLW
213YBWR,GROWTH MARKETER H/F (H/F),JUNGHEINRICH FRANCE,78 - Vélizy-Villacoublay,78,CDI,2 An(s),,2026-09-16,M1718,Concevoir des supports de communication et d'image | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213YBWR
213VQXG,Chargé / Chargée marketing digital (H/F),PLEZI SOFTWARE,34 - MONTPELLIER,34,CDI,2 An(s),Annuel de 32000.0 Euros à 38000.0 Euros,2026-09-14,M1718,Analyser les besoins des utilisateurs pour la création de contenus multimédias | Concevoir des supports de communication et d'image | Mesurer le retour sur investissement d'une action marketing | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément,https://candidat.francetravail.fr/offres/recherche/detail/213VQXG
213VPDG,Alternant(e) Marketing & Communication Digital H/F (H/F),RENAULT-DACIA,39 - LONS LE SAUNIER,39,CDD,Débutant accepté,,2026-09-14,M1718,Veille concurrentielle sur le marché digital | Concevoir des supports de communication et d'image | Gérer les campagnes publicitaires digitales | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213VPDG
213SCPM,Assistant(e) Communication & Marketing Digital (H/F),THE BRIDGE ECOLE ENTREPRISES,92 - NANTERRE,92,CDD,Débutant accepté,Mensuel de 800.0 Euros à 2300.0 Euros,2026-09-10,M1718,Veille concurrentielle sur le marché digital | Concevoir des supports de communication et d'image | Gérer les campagnes publicitaires digitales | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213SCPM
213RGGD,Chargé / Chargée marketing digital (H/F),BLIESDENTAIRE,57 - SARREGUEMINES,57,CDI,3 An(s),,2026-09-10,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/213RGGD
