id,intitule,entreprise,lieu,departement,contrat,experience,salaire,date_publication,rome,competences,url
214FDLM,Chargé / Chargée marketing digital (H/F),NOKARA,13 - ARLES,13,CDI,Débutant accepté,Annuel de 28000.0 Euros à 33000.0 Euros,2026-09-21,M1718,Analyser les besoins des utilisateurs pour la création de contenus multimédias | Concevoir des supports de communication et d'image | Mesurer le retour sur investissement d'une action marketing | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément,https://candidat.francetravail.fr/offres/recherche/detail/214FDLM
214DVGB,Chef de produit marketing digital (H/F),PRECIPHAR,75 - Paris,75,CDD,2 An(s),Annuel de 40000.0 Euros,2026-09-21,M1718,Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/214DVGB
214DRFL,Chargé commercial & marketing digital (H/F),SOCIETE PATISSERIE MASMOUDI FRANCE,69 - LYON,69,CDI,Débutant accepté,,2026-09-21,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/214DRFL
214DQNK,Formateur Digital Webmarketing & Content Marketing (H/F),ALTERNANCE AUVERGNE,03 - MONTLUCON,03,CDD,12 Mois - Dans la formation,Horaire de 28.0 Euros à 40.0 Euros - selon le statut,2026-09-21,K2111,"Concevoir l'ingénierie de formation et les séquences pédagogiques | Animer des sessions de formation | Assurer le suivi administratif des formations | Concevoir des modules de formation | Contribuer au développement de compétences dans un cadre informel | Définir un objectif d'apprentissage et le programme des activités pédagogiques | Evaluer des acquis d'apprentissage, de formation ou d'expérience | Evaluer le niveau de départ du pratiquant",https://candidat.francetravail.fr/offres/recherche/detail/214DQNK
214CLRD,Responsable pédagogique et formateur Markéting Digital (H/F),ASSOCIATION DE GESTION ENSEMBLE CATHOLIQ,35 - FOUGERES,35,CDI,Débutant accepté,,2026-09-18,K2111,Concevoir l'ingénierie de formation et les séquences pédagogiques,https://candidat.francetravail.fr/offres/recherche/detail/214CLRD
213ZXLF,Responsable Marketing Digital & E-commerce H/F (H/F),POTENTIEL HUMAIN,34 - Béziers,34,CDI,3 An(s),Mensuel de 3000.0 Euros,2026-09-17,E1113,"Analyser des échanges communautaires en ligne | Animer un réseau, une communauté | Identifier, traiter une demande client | Réaliser des enquêtes et des sondages en ligne",https://candidat.francetravail.fr/offres/recherche/detail/213ZXLF
213VQXG,Chargé / Chargée marketing digital (H/F),PLEZI SOFTWARE,34 - MONTPELLIER,34,CDI,2 An(s),Annuel de 32000.0 Euros à 38000.0 Euros,2026-09-14,M1718,Analyser les besoins des utilisateurs pour la création de contenus multimédias | Concevoir des supports de communication et d'image | Mesurer le retour sur investissement d'une action marketing | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément,https://candidat.francetravail.fr/offres/recherche/detail/213VQXG
213VPDG,Alternant(e) Marketing & Communication Digital H/F (H/F),RENAULT-DACIA,39 - LONS LE SAUNIER,39,CDD,Débutant accepté,,2026-09-14,M1718,Veille concurrentielle sur le marché digital | Concevoir des supports de communication et d'image | Gérer les campagnes publicitaires digitales | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213VPDG
213SCPM,Assistant(e) Communication & Marketing Digital (H/F),THE BRIDGE ECOLE ENTREPRISES,92 - NANTERRE,92,CDD,Débutant accepté,Mensuel de 800.0 Euros à 2300.0 Euros,2026-09-10,M1718,Veille concurrentielle sur le marché digital | Concevoir des supports de communication et d'image | Gérer les campagnes publicitaires digitales | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213SCPM
213RRFX,Product Owner Marketing Digital (h/f) (H/F),ADECCO LHH,34 - Frontignan,34,CDI,2 An(s),Annuel de 40000.0 Euros à 48000.0 Euros,2026-09-10,M1864,,https://candidat.francetravail.fr/offres/recherche/detail/213RRFX
