date,rome,total,recuperees,nouvelles,modifiees
2026-09-22,D1415,348,348,0,0
2026-09-22,D1438,23,23,0,0
2026-09-22,D1506,140,140,0,0
2026-09-22,E1101,137,137,0,0
2026-09-22,E1103,185,185,0,0
2026-09-22,E1107,156,156,0,0
2026-09-22,E1112,317,317,0,0
2026-09-22,E1113,321,321,0,0
2026-09-22,E1124,42,42,0,0
2026-09-22,E1404,51,51,0,0
2026-09-22,E1405,31,31,0,0
2026-09-22,E1406,0,0,0,0
2026-09-22,M1426,34,34,0,0
2026-09-22,M1430,258,258,0,0
2026-09-22,M1620,150,150,0,0
2026-09-22,M1703,304,304,0,0
2026-09-22,M1705,226,226,0,0
2026-09-22,M1706,99,99,0,0
2026-09-22,M1711,48,48,0,0
2026-09-22,M1716,268,268,0,0
2026-09-22,M1718,113,113,0,0
2026-09-22,M1719,0,0,0,0
2026-09-22,M1886,111,111,0,0
